year,total_stock_change,co2_removals,sawnwood_domestic_inflow,woodpanels_domestic_inflow,paper_domestic_inflow,sawnwood_domestic_stock,woodpanel_domestic_stock,paper_domestic_stock,sawnwood_domestic_stock_change,woodpanels_domestic_stock_change,paper_domestic_stock_change,domestic_stock_change,domestic_co2_removals,sawnwood_export_inflow,woodpanels_export_inflow,paper_export_inflow,sawnwood_export_stock,woodpanel_export_stock,paper_export_stock,sawnwood_export_stock_change,woodpanels_export_stock_change,paper_export_stock_change,export_stock_change,export_co2_removals
1944,508352.71182915126,-1863959.9433735546,822066.3172731206,38614.56876459832,101884.88101406136,18621048.641235854,770435.7917771867,283712.6463808688,457809.56408006325,17494.96386719914,4251.893428242474,479556.42137550487,-1758373.5450435178,49356.46811669605,2318.4002215196715,6211.830381365394,1117998.845408545,46256.59608454502,17297.70716543339,27486.667046509217,1050.3892546996067,259.23415243758427,28796.29045364641,-105586.39833003683
1945,512139.9885380416,-1877846.6246394857,834573.7118429302,39202.07324876686,103435.01678871273,19082265.197614774,788031.7896327341,288029.2261438443,461216.55637891963,17595.997855547466,4316.579762975511,483129.1339974426,-1771473.491323956,50107.40609862853,2353.6737094755663,6306.340777847987,1145690.0666415463,47313.051371534035,17560.885186042135,27691.22123300121,1056.4552869890176,263.178020608746,29010.854540598975,-106373.13331552957
1946,516063.642727154,-1892233.3566662313,847271.401180495,39798.51636749642,105008.7372296653,19547010.36007887,805734.8745530103,292411.4777181298,464745.16246409714,17703.08492027619,4382.251574285503,486830.49895865883,-1785045.1628484156,50869.76928731154,2389.4838687710458,6402.289110413009,1173593.1436945468,48375.93611462038,17828.067158450544,27903.077053000452,1062.8847430863461,267.1819724084089,29233.143768495207,-107188.19381781576
1947,520124.16756440734,-1907121.9477361601,860162.2805409727,40404.034118366544,106606.40116773482,20015406.224416666,823551.0682222606,296860.40119283285,468395.8643377945,17816.193669250235,4448.923474703042,490660.98148174776,-1799090.2654330751,51643.73151247859,2425.838864635674,6499.697256655458,1201715.407140234,49445.61185284319,18099.31405720008,28122.263445687247,1069.6757382228097,271.24689874953765,29463.186082659595,-108031.68230308518
1948,524322.0958614745,-1922514.3514920732,873249.2892296148,41018.76456810296,108228.37289319756,20487575.40258387,841486.3638317394,301377.01160353137,472169.1781672053,17935.29560947884,4516.610410698515,494621.08418738266,-1813610.642020403,52429.46924860978,2462.746986529564,6598.587427028769,1230064.2185417279,50522.4384145361,18374.6877681052,28348.811401493847,1076.8265616929057,275.37371090511806,29701.01167409187,-108903.70947167018
1949,528657.9999866406,-1938412.6666176822,886535.4112719704,41642.84788405877,109875.02223885366,20963641.05686205,859546.728930627,305962.33923860313,476065.65427817777,18060.36509888759,4585.327635071764,498711.3470121371,-1828608.272377836,53227.16165517044,2500.2166500334893,6698.982169909122,1258646.972503448,51606.77408849484,18654.251106929943,28582.75396172004,1084.335673958747,279.5633388247443,29946.65297450353,-109804.39423984627
1950,533132.4918001292,-1954819.1366004737,900023.6760942878,42276.42636617464,111546.72466435442,21443726.93402116,877738.1082305079,310617.42992709874,480085.8771591112,18191.379299880937,4655.090688495606,502932.34714748774,-1844085.2728741216,54036.99061746216,2538.25639876776,6800.904376736794,1287471.0987222178,52698.97579235688,18938.06783693935,28824.126218769932,1092.2017038620397,283.81673000940646,30200.14465264138,-110733.86372635172
1951,537746.2226088891,-1971736.1495659265,913717.1592142656,42919.644479425195,113243.86134181237,21927957.39949613,896066.426365162,315343.3453146489,484230.46547497064,18328.31813465408,4725.915387550136,507284.69899717486,-1860043.8963229745,54859.140788095116,2576.874906340288,6904.37728723573,1316544.0640392092,53799.39923829788,19226.20268572123,29072.96531699132,1100.423445941,288.13484878187955,30461.5236117142,-111692.25324295207
1952,542499.8831389011,-1989166.2381759705,927618.9829423159,43572.648886759125,114966.81924271405,22416457.471587636,914537.5906073763,320141.16313201125,488500.07209150493,18471.16424221429,4797.817817362375,511769.0541510816,-1876486.5318872991,55693.79962909161,2616.080978324297,7009.4244947125435,1345873.3744933407,54908.39909614782,19518.721361559255,29329.31045413157,1108.9998578499362,292.51867583802596,30730.828987819532,-112679.70628867162
1953,547394.203523353,-2007112.0795856274,941732.3170934954,44235.588482540436,116715.99122615498,22909352.85569713,933157.4935444479,325011.97745953006,492895.38410949335,18619.90293707163,4870.814327518805,516386.1013740838,-1893415.7050383072,56541.157454630076,2655.883554266117,7116.069951436117,1375466.5773767333,56026.329154026855,19815.690569556813,29593.202883392572,1117.9300578790353,296.96920799755753,31008.102149269165,-113696.37454732027
1954,552429.9533057123,-2025576.4954542783,956060.3797102686,44908.61442649848,118491.77612841724,23406769.97860621,951932.0157140078,329956.8989898402,497417.12290908024,18774.522169559845,4944.921530310123,521136.5666089502,-1910834.0775661506,57401.40747443942,2696.2917097235295,7224.337974099071,1405331.2632928262,57153.542476599,20117.17802765385,29864.685916092945,1127.2133225721482,301.4874580970354,31293.38669676213,-114742.4178881278
1955,557607.9414568823,-2044562.4520085682,970606.4377962679,45591.88017819459,120294.57885390989,23908836.02281034,970867.0282017624,334977.055290482,502066.04420413077,18935.012487754575,5020.156300641829,526021.2129925272,-1928744.4476392663,58274.7458378536,2737.314658335125,7334.253249362316,1435475.0682177567,58290.391561039236,20423.252482638254,30143.804924930446,1136.8490844402331,306.07445498440575,31586.728464355085,-115818.00436930197
1956,562929.01640582,-2064073.0601546734,985373.808061217,46285.54153201296,122124.81046749276,24415678.960916873,989968.3952027089,340073.5910676219,506842.93810653314,19101.367000946542,5096.535777139885,531040.8408846196,-1947149.749910272,59161.37167853654,2778.961753921145,7445.84083948396,1465905.6755656023,59437.22849080763,20733.98372622467,30430.607347845566,1146.8369297683967,310.7312435864151,31888.175521200377,-116923.31024440138
